,street,city,state,zipcode,price,bedroom,bath,Sq.ft,price per Sq.Ft,house_size,bed_bath_ratio,price_comparison
495,1178 Rhinecastle Way,San Jose,CA,95120,1999000.0,4,2.5,2213,903.299,medium,1.6,higher
496,1133 Idlewood Dr,San Jose,CA,95121,1080000.0,3,2.0,1232,876.623,small,1.5,higher
497,3036 Empoli #4 St,San Jose,CA,95136,1159900.0,3,2.0,1241,934.649,small,1.5,higher
498,6197 Gerdts Dr,San Jose,CA,95135,688888.0,2,2.0,1197,575.512,small,1.0,lower
499,1007 Byerley Ave,San Jose,CA,95125,2250000.0,4,3.0,2605,863.724,large,1.333,higher
500,3196 Knightswood Way,San Jose,CA,95148,1850000.0,4,2.5,1931,958.053,medium,1.6,higher
501,855 Cherry Creek Cir,San Jose,CA,95126,775000.0,2,2.0,1058,732.514,small,1.0,lower
502,1502 Rue Avati,San Jose,CA,95131,1488000.0,4,2.0,1480,1005.405,small,2.0,higher
503,2685 Evora Dr,San Jose,CA,95124,1851933.0,3,2.0,2063,897.689,medium,1.5,higher
504,101 S 12th St,San Jose,CA,95112,1399000.0,4,2.5,2140,653.738,medium,1.6,higher
506,4255 Senter Rd,San Jose,CA,95111,935000.0,3,2.0,1123,832.591,small,1.5,lower
507,54 Floyd St,San Jose,CA,95110,1669000.0,4,2.0,1475,1131.525,small,2.0,higher
508,1075 Palm St,San Jose,CA,95110,925777.0,4,2.0,1365,678.225,small,2.0,lower
510,531 N 12th St,San Jose,CA,95112,1188000.0,3,1.0,925,1284.324,small,3.0,higher
511,476 S Willard Ave,San Jose,CA,95126,599999.0,2,2.0,968,619.834,small,1.0,lower
512,411 Lewis Rd #357,San Jose,CA,95111,185000.0,2,1.0,800,231.25,small,2.0,lower
513,3328 Corning Dr,San Jose,CA,95118,1470000.0,3,2.5,1805,814.404,medium,1.2,higher
514,3208 Mallard Ct #302,San Jose,CA,95117,1250000.0,2,2.0,1345,929.368,small,1.0,higher
515,1155 Weyburn Ln #10,San Jose,CA,95129,825000.0,2,1.0,852,968.31,small,2.0,lower
516,1450 Emory St,San Jose,CA,95126,1988000.0,5,2.5,3009,660.685,large,2.0,higher
517,495 Dorothy Ave,San Jose,CA,95125,1799888.0,4,3.0,1825,986.24,medium,1.333,higher
518,1233 San Juan Ave,San Jose,CA,95110,1233000.0,3,2.0,1231,1001.625,small,1.5,higher
520,615 Lisa Way,Campbell,CA,95008,1475000.0,3,2.0,1528,965.314,medium,1.5,higher
521,1216 Champagne Ln,San Jose,CA,95132,1479000.0,3,2.0,1324,1117.069,small,1.5,higher
522,553 Coakley Dr,San Jose,CA,95117,1450000.0,4,2.5,1648,879.854,medium,1.6,higher
523,3300 Narvaez #199,San Jose,CA,95136,242500.0,2,2.0,1100,220.455,small,1.0,lower
524,97 E Saint James St #46,San Jose,CA,95112,529000.0,1,1.0,885,597.74,small,1.0,lower
525,1080 Loupe Ave,San Jose,CA,95121,1099000.0,3,2.0,1584,693.813,medium,1.5,higher
527,4793 Rue Orleans Ct,San Jose,CA,95136,1380000.0,4,2.5,1732,796.767,medium,1.6,higher
528,6058 Paseo Pueblo Dr,San Jose,CA,95120,1999888.0,4,2.5,2204,907.39,medium,1.6,higher
529,1381 Crailford Ct,San Jose,CA,95121,1350000.0,3,2.0,1402,962.91,small,1.5,higher
530,5589 Judith St #1,San Jose,CA,95123,555000.0,2,1.0,810,685.185,small,2.0,lower
531,566 Almaden Walk Loop,San Jose,CA,95125,1098000.0,3,3.0,1410,778.723,small,1.0,higher
533,52 S 10th St,San Jose,CA,95112,1399900.0,5,2.5,1887,741.865,medium,2.0,higher
534,1508 W Hedding St,San Jose,CA,95126,1550000.0,4,3.0,1900,815.789,medium,1.333,higher
535,1310 Saddle Rack St #302,San Jose,CA,95126,850000.0,2,2.0,1258,675.676,small,1.0,lower
536,3 Adelong Way,San Jose,CA,95139,990000.0,2,1.0,792,1250.0,small,2.0,lower
537,75 Azucar Ave,San Jose,CA,95111,998888.0,3,2.0,1206,828.265,small,1.5,lower
538,2044 Worthington Cir,Santa Clara,CA,95050,1299606.0,2,2.0,1413,919.749,small,1.0,higher
539,1566 Murphy Ave,San Jose,CA,95131,2490000.0,4,4.0,3141,792.741,large,1.0,higher
540,2216 Astrahan Ln,San Jose,CA,95148,1198888.0,3,2.0,1472,814.462,small,1.5,higher
541,1136 Yarwood Ct,San Jose,CA,95128,468000.0,1,1.0,658,711.246,small,1.0,lower
542,2077 Cully Pl,San Jose,CA,95124,2985000.0,4,4.5,2810,1062.278,large,0.889,higher
543,1588 Ringwood Ave,San Jose,CA,95131,1950000.0,3,2.5,2277,856.39,medium,1.2,higher
544,2814 Paseo Ln,San Jose,CA,95124,1525000.0,4,4.5,2438,625.513,medium,0.889,higher
545,6992 Rockton Ave,San Jose,CA,95119,1888888.0,5,3.0,2347,804.81,medium,1.667,higher
546,482 Marble Arch Ave,San Jose,CA,95136,1099000.0,3,2.5,1983,554.211,medium,1.2,higher
547,2260 Silver Terrace Way,San Jose,CA,95138,1198000.0,2,2.0,1793,668.154,medium,1.0,higher
549,1500 Virginia Pl #108,San Jose,CA,95116,199999.0,2,1.0,693,288.599,small,2.0,lower
550,348 Daisy Dr,San Jose,CA,95123,1725000.0,4,3.0,2048,842.285,medium,1.333,higher
551,5401 Silver Vista Way,San Jose,CA,95138,1400000.0,2,2.0,2154,649.954,medium,1.0,higher
552,111 Llano De Los Robles Ave #2,San Jose,CA,95136,1299888.0,2,2.0,1900,684.152,medium,1.0,higher
553,1797 Rosswood Dr,San Jose,CA,95124,2198000.0,4,2.5,2000,1099.0,medium,1.6,higher
554,322 Flinder Pl,San Jose,CA,95123,1039000.0,3,3.0,1822,570.252,medium,1.0,lower
555,4300 Kirk Rd,San Jose,CA,95124,2198000.0,4,3.0,1931,1138.27,medium,1.333,higher
556,1578 Taipei Dr,San Jose,CA,95131,1148000.0,4,3.0,1846,621.885,medium,1.333,higher
557,2151 Old Oakland Rd #20,San Jose,CA,95131,330000.0,3,2.0,1440,229.167,small,1.5,lower
558,2773 Union Ave,San Jose,CA,95124,1475000.0,4,2.0,1757,839.499,medium,2.0,higher
559,5403 Cribari Ct,San Jose,CA,95135,510000.0,2,2.0,1223,417.007,small,1.0,lower
560,2671 Glen Fenton Way,San Jose,CA,95148,1449999.0,4,2.5,2113,686.228,medium,1.6,higher
561,828 Nevada Ave,San Jose,CA,95125,2199950.0,3,2.0,2163,1017.083,medium,1.5,higher
