,street,city,state,zipcode,price,bedroom,bath,Sq.ft,price per Sq.Ft,house_size,bed_bath_ratio,price_comparison
1010,2348 Kinetic Cmn #106,Fremont,CA,94539,1150000.0,2,2.0,1688,681.28,medium,1.0,higher
1011,45250 Volt Ter #102,Fremont,CA,94539,1690000.0,4,3.5,2493,677.898,medium,1.143,higher
1012,38739 Aurora Ter,Fremont,CA,94536,650000.0,2,1.5,1120,580.357,small,1.333,lower
1013,4547 Glenn St,Fremont,CA,94536,555000.0,2,1.0,964,575.726,small,2.0,lower
1014,44818 Wisdom Rd #1001,Fremont,CA,94538,1339357.0,3,3.0,2218,603.858,medium,1.0,higher
1015,3698 Vision Cmn Unit 221,Fremont,CA,94538,834880.0,2,2.0,1049,795.882,small,1.0,lower
1016,3698 Vision Cmn Unit 211,Fremont,CA,94538,787880.0,2,2.0,1014,777.002,small,1.0,lower
1017,38133 Fremont Blvd,Fremont,CA,94536,2750000.0,4,4.5,3372,815.54,large,0.889,higher
1018,33711 Farmhouse Ct,Fremont,CA,94555,2450000.0,4,3.0,2579,949.981,large,1.333,higher
1019,3425 Inspiration Way #301,Fremont,CA,94538,1249059.0,3,2.0,1866,669.378,medium,1.5,higher
1020,3803 Lake Ontario Dr,Fremont,CA,94555,1288898.0,4,2.0,1444,892.589,small,2.0,higher
1021,2348 Kinetic Cmn #207,Fremont,CA,94538,1185000.0,2,2.0,1766,671.008,medium,1.0,higher
1022,37168 Meadowbrook Cmn #201,Fremont,CA,94536,480000.0,2,1.0,934,513.919,small,2.0,lower
1023,38627 Cherry Ln #77,Fremont,CA,94536,420000.0,1,1.0,628,668.79,small,1.0,lower
1024,37891 3rd St,Fremont,CA,94536,899000.0,2,2.0,939,957.401,small,1.0,lower
1025,598 Ginkgo Ter,Fremont,CA,94539,1748000.0,4,3.5,2045,854.768,medium,1.143,higher
1026,39940 Fremont Blvd #6,Fremont,CA,94538,441111.0,1,1.0,730,604.262,small,1.0,lower
1027,42111 Osgood Rd #214,Fremont,CA,94539,643800.0,2,2.0,906,710.596,small,1.0,lower
1028,1918 Kilowatt Way #101,Fremont,CA,94539,1800260.0,4,3.5,2460,731.813,medium,1.143,higher
1029,163 Dora Falls Ter,Fremont,CA,94539,950000.0,2,2.0,1515,627.063,medium,1.0,lower
1030,42111 Osgood Rd #504,Fremont,CA,94539,797800.0,3,2.0,1082,737.338,small,1.5,lower
1031,42111 Osgood Rd #525,Fremont,CA,94539,607800.0,1,1.0,934,650.749,small,1.0,lower
1032,42111 Osgood Rd #422,Fremont,CA,94539,663800.0,2,2.0,906,732.671,small,1.0,lower
1033,39109 Guardino Dr #237,Fremont,CA,94538,478000.0,1,1.0,693,689.755,small,1.0,lower
1034,42111 Osgood Rd #315,Fremont,CA,94539,783800.0,3,2.0,1118,701.073,small,1.5,lower
1035,42111 Osgood Rd #221,Fremont,CA,94539,598800.0,1,1.0,1017,588.791,small,1.0,lower
1036,38228 Paseo Padre Pkwy #31,Fremont,CA,94536,525000.0,2,2.0,933,562.701,small,1.0,lower
1037,42111 Osgood Rd #428,Fremont,CA,94539,999800.0,3,2.0,1602,624.095,medium,1.5,lower
1038,42111 Osgood Rd #223,Fremont,CA,94539,548800.0,1,1.0,865,634.451,small,1.0,lower
1039,42111 Osgood Rd #216,Fremont,CA,94539,864800.0,3,3.0,1366,633.089,small,1.0,lower
1041,47112 Warm Springs Blvd #239,Fremont,CA,94539,420000.0,1,1.0,760,552.632,small,1.0,lower
1042,70 Delta Ter,Fremont,CA,94538,305000.0,3,2.0,1392,219.109,small,1.5,lower
1045,35364 Fremont Blvd,Fremont,CA,94536,1000000.0,2,1.0,1133,882.613,small,2.0,lower
1046,3698 Vision Cmn Unit 115,Fremont,CA,94538,724880.0,2,2.0,977,741.945,small,1.0,lower
1047,3698 Vision Cmn Unit 109,Fremont,CA,94538,529880.0,1,1.0,682,776.95,small,1.0,lower
